UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Is_Promoted
Mexican for Trump,@elrealhomz,2020-01-02T17:55:50.000Z,"@Tesla
 I have been trying to set an appointment for service, I have problem with the app, on my phone and wife’s phone see below. Who do I talk to regarding this, I just bought the car so I’m new to service calls. I’m use to BMW great customer service they have a number to call.",,5,4,6,,False
Michaelski Hafenmeister,@BewBewMike,2020-01-02T16:22:49.000Z,"@Tesla
 spends money to build superchargers at the bottom of the mountain next to the skilift 
. 
@BMW
 spends money in order to put cars on top of the mountain as advertising 
 #tsla",😊,,,1,,False
Jen Ratko,@jrat53,2020-01-02T20:45:20.000Z,"@Tesla
 @elonmusk
 I owned my #modelx for a whole week before something went wrong to render it unsafe to drive. No loaner available yet & my brand new car is expected to be out a minimum of one week. I should’ve listened to the naysayers who said don’t buy Tesla.",,,1,1,,False
