UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Is_Promoted
Vincent,@vincent13031925,2020-01-01T23:59:13.000Z,"Tesla Dominated 
Dutch EV Market With Close To 30,000 Model 3 Registered in 2019. 
@elonmusk
 

$TSLA #Tesla #Model3 #NetherlandsTesla Dominated Dutch EV Market With Close To 30K Model 3 Registered in 2019
Tesla's success in the Dutch market is incredibly high. Tesla Model 3 not only took #1 in sales of electric cars in the Netherlands in 2019, but also entered the top 3 in total sales of all passenger...
tesmanian.com",🚀 🟠 🏆,1,16,153,,False
SomePeopleCallMeTheSpaceCowboy....wear a mask!!!,@TeslaForThe_Win,2020-01-01T23:58:52.000Z,"Replying to 
@DeeJ722I said that....perhaps you missed it....I was only showing what kind of person Elon is. ",😁,,,14,,False
blondel laurent,@laurent_blondel,2020-01-01T23:58:50.000Z,Elektrijden is  Niels ik gij een b250e en heb 6000€ bij moeten betalen voor een nieuwe accu pas geleden accu kost onder garantie 20000€? Is van Tesla wat de fuk,,,,,,False
