UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Elon Musk,@elonmusk,2020-01-01T06:33:47.000Z,No one suspected his disguise,,697,4.8K,73.3K,['https://pbs.twimg.com/media/ENLQkiKXYAIAh-a?format=jpg&name=small'],https://twitter.com/elonmusk/status/1212260614514630656
Elon Musk,@elonmusk,2020-01-05T00:35:42.000Z,Wikigenius,,1.9K,29.9K,293K,['https://pbs.twimg.com/media/ENelARzU0AA6Wxi?format=jpg&name=small'],https://twitter.com/elonmusk/status/1213620051770671104
Elon Musk,@elonmusk,2020-01-10T07:19:46.000Z,Phony,,1.1K,27.8K,210.8K,['https://pbs.twimg.com/media/EN5xb56U0AAJatv?format=jpg&name=small'],https://twitter.com/elonmusk/status/1215533676848537601
Elon Musk,@elonmusk,2020-01-14T17:59:16.000Z,"T-shirt is bulletproof & makes u buff!
https://shop.tesla.com/en_ca/product/men_s-cybertruck-bulletproof-tee?sku=7654399-00-A…",,1.8K,3.4K,46.8K,['https://pbs.twimg.com/media/EOQqKhnUYAAmHVU?format=jpg&name=small'],https://twitter.com/elonmusk/status/1217144162757120000
