UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
CCN - Capital & Celeb News,@CapitalAndCeleb,2015-04-01T23:48:43.000Z,"CCN - Capital & Celeb News
@CapitalAndCeleb
·
2 avr. 2015","Bitcoin Event: State of Digital Money Conference to be Held in LA in April https://cryptocoinsnews.com/bitcoin-event-state-digital-money-conference-held-la-april/… #Bitcoin
16",,,16,,['https://pbs.twimg.com/media/CBi1gp-WIAErf7t?format=jpg&name=small'],https://twitter.com/CapitalAndCeleb/status/583415726368751616
Tomoyuki Sugiyama,@tomoyuki_sugi,2015-04-01T22:59:25.000Z,"Tomoyuki Sugiyama
@tomoyuki_sugi
·
2 avr. 2015","Presentation on #bitcoin by 
@bitFlyer
 #fintech
1
9
4",,1,9,4,['https://pbs.twimg.com/media/CBiqOSMUsAARSEx?format=jpg&name=small'],https://twitter.com/tomoyuki_sugi/status/583403321936908289
Magnr,@magnr,2015-04-01T22:33:16.000Z,"Magnr
@magnr
·
2 avr. 2015","Milton Friedman predicted #bitcoin back in 1999 - what would you do if you could travel back to the 90s?
7
5",,,7,5,['https://pbs.twimg.com/media/CBikPlYW0AAVNmA?format=png&name=small'],https://twitter.com/magnr/status/583396739698294784
Tigara Games,@TigaraGames,2015-04-01T23:48:38.000Z,"Tigara Games
@TigaraGames
·
2 avr. 2015","#Obama handling the #Reptilian situation! Help him kick some #Alien butt in #UranusAttacks! & get some free #Bitcoin
1
5
6",,1,5,6,['https://pbs.twimg.com/media/CBi1flzUgAAnX4K?format=jpg&name=small'],https://twitter.com/TigaraGames/status/583415706693185536
BitcoinCuba,@BitcoinCuba,2015-04-01T22:19:57.000Z,"BitcoinCuba
@BitcoinCuba
·
2 avr. 2015","The Cuban Money Crisis http://bloom.bg/1EDkepT

#Bitcoin will help Cuban entrepreneurs avoid a economic crisis #Cuba
1
4",,,1,4,['https://pbs.twimg.com/media/CBihMeOVEAIQ4kv?format=png&name=small'],https://twitter.com/BitcoinCuba/status/583393388151480320
Daniel Cawrey,@danielcawrey,2015-04-01T21:50:09.000Z,"Daniel Cawrey
@danielcawrey
·
1 avr. 2015","Bitcoin goes over 125,000 blockchain transactions in one day for the first time. http://zapchain.com/a/Eb8kOnmFu8
2
9
10",,2,9,10,['https://pbs.twimg.com/media/CBiaX5-WoAANknJ?format=png&name=small'],https://twitter.com/danielcawrey/status/583385887456776193
NipCoin,@NipCoin,2015-04-01T23:05:43.000Z,"NipCoin
@NipCoin
·
2 avr. 2015",Le monopole du bitcoin sur les devises Internet - Les Échos: Le monopole du bitcoin sur les devises Inter... http://bit.ly/1MBWCX1 #BTC,,,,,[],https://twitter.com/NipCoin/status/583404906796617728
Reynald Dal Barco,@ReynaldDalBarco,2015-04-01T22:23:03.000Z,"Reynald Dal Barco
@ReynaldDalBarco
·
2 avr. 2015",je lis Bitcoin : un marché plus mature pris en main par Wall Street et la Silicon Valley http://lesechos.fr/0204272761179.htm?xtor=CS1-2…,,,,,[],https://twitter.com/ReynaldDalBarco/status/583394168229212161
SB Nation,@SBNation,2015-04-01T23:16:11.000Z,"SB Nation
@SBNation
·
2 avr. 2015","After just one season, the Bitcoin Bowl is reportedly no more http://sbnation.com/2015/4/1/8328133/bitcoin-st-petersburg-bowl-beef-o-bradys…
6
14
12",,6,14,12,['https://pbs.twimg.com/media/CBiuCv5UgAAW-W0?format=png&name=240x240'],https://twitter.com/SBNation/status/583407540098195456
