UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dr Sandra Collins,@SandriCollins,2020-04-05T11:46:04.000Z,"Seriously, I am so grateful for this beautiful spring light! Even the most ordinary plants look extraordinary, while the world has reduced to 2km #StayingAtHome",,,7,3,73,"['https://pbs.twimg.com/media/EU1nF8aXkAA08FN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EU1nF9bXkAUQP7q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EU1nF8fXkAEwJ-m?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EU1nF_FWsAE3UFo?format=jpg&name=360x360']",https://twitter.com/SandriCollins/status/1246766049325912070
SusanMarieMartin PhD,@smariem13,2020-04-05T16:21:56.000Z,And how do we carry this forward into life post-Covid19. I keep thinking of all the “changes utterly “ refs post-collapse of 2008. On the upside- hope springs eternal.,,,,,1,[],https://twitter.com/smariem13/status/1246835471390564352
Saoud Ayoub,@SaoudAyoub,2020-04-05T21:21:09.000Z,"Les employés des centres d’appel pris en grippe https://lecanardlibere.com/caneton-fouineur/les-employes-des-centres-dappel-pris-en-grippe… 
#callcenter #Covid_19","Les employés des centres d’appel pris en grippe
Au Maroc, les employés des call centers vivent une détresse sociale et professionnelle incroyable. Ils sont menacés par plus grave que ...
lecanardlibere.com",,,,,[],https://twitter.com/SaoudAyoub/status/1246910771495342084
Mehdi TAZI,@passiondcrire,2020-04-05T20:25:19.000Z,"La presse américaine parle de transmission du #covid19 par l'air .
Qui a des infos ?
Est ce que c'est vrai ? #coronavirus","Experts tell White House coronavirus can spread through talking or even just breathing
A prestigious scientific panel told the White House Wednesday night that research shows coronavirus can be spread not just by sneezes or coughs, but also just by talking, or possibly even just...
cnn.com",,1,,,['https://pbs.twimg.com/card_img/1362860731259965440/m-ZPStmb?format=jpg&name=small'],https://twitter.com/passiondcrire/status/1246896724343435264
L9teta,@L9teta,2020-04-05T22:06:32.000Z,"Faut vraiment qu'on trouve une solution au COVID.
C'est pas possible les gens qui mettent des live sur FB, IG... ",,🤦 🤸 😭,3,,4,[],https://twitter.com/L9teta/status/1246922194459987969
"Jalil El Outmani ™
(From
)",@JalilElOutmani,2020-04-05T15:23:39.000Z,"Il est temps de mettre un tableau par provinces (aussi les préfectures de Casablanca Rabat Sale Marrakech Fes et Tanger) sur le site http://Covidmaroc.ma 
Un tableau des cas confirmés, Décédés et Guéris.
#Covid_19
#coronvirus
@Ministere_Sante",,🏡,,,,[],https://twitter.com/JalilElOutmani/status/1246820806388264960
Dr Mary McAuliffe,@MaryMcAuliffe4,2020-04-06T10:33:10.000Z,"Coronavirus: Primary school measures are reinforcing inequality, report says","Coronavirus: Primary school measures are reinforcing inequality, report says
New survey highlights concerns over effect of school closures on disadvantaged children
irishtimes.com",😷,1,5,10,['https://pbs.twimg.com/card_img/1364160031571259399/lf9ZPCnM?format=jpg&name=small'],https://twitter.com/MaryMcAuliffe4/status/1247110089850474496
SusanMarieMartin PhD,@smariem13,2020-04-06T13:38:29.000Z,"“Not all parents have the skills, time or health to help children with distance learning and not all schools and pupils have the necessary technology...” Sad it has taken Covid19 for this to be learned. This has been a challenge decades in Canada too (and elsewhere).",,,1,,,[],https://twitter.com/smariem13/status/1247156727524380673
Youness Tanji,@YounessTanji,2020-04-06T03:43:13.000Z,"Replying to 
@RTarabic",#Covid_19,,,,,[],https://twitter.com/YounessTanji/status/1247006923070767104
Youness Tanji,@YounessTanji,2020-04-06T18:37:04.000Z,"Replying to 
@WHOEMRO",@COVID_France,,,,,[],https://twitter.com/YounessTanji/status/1247231866807160833
